nombre_grada,nombre_recinto,num_localidades,precio_grada
Grada Amarilla Zona,Calder Park Raceway cevfyfcaqu,17,61
Grada Negra Sector,Calder Park Raceway pbuiiyvvel,16,67
Grada Roja Sector,Camille Chamoun Stadium jxxyxcgoni,39,94
Grada Sur Sector,Camille Chamoun Stadium zdydkeathl,35,43
Grada Azul Tribuna,Camille Chamoun Stadium zdydkeathl,38,44
Grada Verde Tribuna,Camp Randall Stadium pqdioeofaa,15,46
Grada Oeste Zona,Camp Randall Stadium pqdioeofaa,49,37
Grada Sur Grada,Camp Randall Stadium pqdioeofaa,18,98
Grada Sur Grada,Camp Randall Stadium vyzcpjbszb,17,61
Grada Blanca Sector,Camp Randall Stadium vyzcpjbszb,26,33
Grada Blanca Grada,Camp Randall Stadium zumswijknt,41,45
Grada Roja Sector,Candlestick Park akyptfuldz,6,84
Grada Verde Grada,Candlestick Park akyptfuldz,22,36
Grada Oeste Sector,Candlestick Park gvzqrbjacq,7,51
Grada Roja Sector,Candlestick Park gvzqrbjacq,35,69
Grada Negra Sector,Candlestick Park gvzqrbjacq,20,56
Grada Negra Grada,Candlestick Park kyavafkadv,5,31
Grada Roja Sector,Candlestick Park kyavafkadv,26,87
Grada Sur Zona,Candlestick Park kyavafkadv,50,98
Grada Roja Zona,Candlestick Park tftufqbhzy,35,71
Grada Oeste Grada,Carrier Dome zivyswpvch,6,98
Grada Verde Sector,Carter Finley Stadium angotwakyd,12,57
Grada Este Tribuna,Carter Finley Stadium rdswgvviyx,21,51
Grada Azul Grada,Casement Park demxgdtysv,25,67
Grada Verde Tribuna,Casement Park demxgdtysv,47,42
Grada Verde Grada,Casement Park demxgdtysv,40,22
Grada Sur Tribuna,Casement Park hfvvkdonkm,25,96
Grada Azul Sector,Casement Park jwhwfjwaug,25,93
Grada Sur Sector,Casement Park lpewkeogye,22,69
Grada Roja Sector,Casement Park nuwnstwecd,37,88
Grada Negra Tribuna,Casement Park nuwnstwecd,6,90
Grada Oeste Sector,Caulfield Racecourse ifnjltjipo,45,92
Grada Azul Zona,CCM Kirumba Stadium gqzsmrujuh,39,58
Grada Oeste Tribuna,CCM Kirumba Stadium gqzsmrujuh,32,75
Grada Roja Tribuna,CCM Kirumba Stadium gqzsmrujuh,48,21
Grada Negra Zona,Celtic Park muobsovnqh,1,42
Grada Roja Zona,Celtic Park pwrfetlnzy,28,49
Grada Este Grada,Celtic Park sbalxzutvk,32,24
Grada Norte Sector,Century Lotus Stadium cyuibbjcot,12,48
Grada Blanca Tribuna,Century Lotus Stadium dmvbrccikq,49,66
Grada Roja Grada,Century Lotus Stadium dmvbrccikq,2,39
Grada Negra Grada,Century Lotus Stadium qfaceoejtw,13,98
Grada Verde Tribuna,Century Lotus Stadium qfaceoejtw,29,18
Grada Blanca Grada,Century Lotus Stadium qfaceoejtw,17,31
Grada Verde Tribuna,Century Lotus Stadium spgbffdnsy,31,16
Grada Blanca Sector,Century Lotus Stadium znscanrzss,16,38
Grada Norte Tribuna,Century Lotus Stadium znscanrzss,4,90
Grada Azul Tribuna,Century Lotus Stadium znscanrzss,3,97
Grada Verde Grada,CenturyLink Field glsthgvran,19,69
Grada Sur Grada,CenturyLink Field glsthgvran,15,13
Grada Oeste Grada,CenturyLink Field hjvoojqecg,3,39
Grada Verde Grada,Changchun City Stadium jfyrxmfwdo,24,32
Grada Azul Zona,Changchun City Stadium jfyrxmfwdo,13,66
Grada Oeste Sector,Changchun City Stadium jfyrxmfwdo,46,48
Grada Sur Sector,Changchun City Stadium lhmswsofom,41,92
Grada Oeste Grada,Changchun City Stadium lhmswsofom,38,71
Grada Roja Tribuna,Changchun City Stadium lhmswsofom,6,55
Grada Amarilla Sector,Changchun City Stadium rlcbakiwmy,3,29
Grada Oeste Sector,Changchun City Stadium tcxugqgnuw,17,69
Grada Este Sector,Changchun City Stadium tcxugqgnuw,9,92
Grada Azul Sector,Changchun City Stadium tcxugqgnuw,39,82
Grada Azul Sector,Changchun City Stadium uflebjcjff,35,25
Grada Roja Tribuna,Changchun City Stadium uflebjcjff,32,50
Grada Amarilla Sector,Changchun City Stadium uflebjcjff,29,12
Grada Roja Tribuna,Charlotte Motor Speedway lbzmluyymd,39,10
Grada Blanca Sector,Charlotte Motor Speedway lbzmluyymd,18,91
Grada Norte Sector,Charlotte Motor Speedway lbzmluyymd,4,53
Grada Amarilla Grada,Charlotte Motor Speedway mbsyeaoadt,50,83
Grada Verde Grada,Charlotte Motor Speedway nkvwvgzkhz,12,86
Grada Blanca Sector,Charlotte Motor Speedway nkvwvgzkhz,34,70
Grada Blanca Grada,Charlotte Motor Speedway ohttegtqkp,30,18
Grada Este Sector,Charlotte Motor Speedway srvkifenwz,32,39
Grada Sur Grada,Charlotte Motor Speedway srvkifenwz,46,86
Grada Sur Sector,Charlotte Motor Speedway zbiytttdfy,15,28
Grada Norte Tribuna,Charlotte Motor Speedway zbiytttdfy,16,25
Grada Oeste Sector,Chase Field czzugqeerv,28,12
Grada Norte Zona,Chase Field czzugqeerv,36,91
Grada Este Grada,Chase Field njvvkgdrtk,15,74
Grada Blanca Sector,Chase Field njvvkgdrtk,41,26
Grada Este Tribuna,Chase Field njvvkgdrtk,30,74
Grada Negra Tribuna,Cheltenham Racecourse pmyowvifyj,27,66
Grada Azul Grada,Cheltenham Racecourse tvjriqyuod,23,16
Grada Azul Sector,Cheltenham Racecourse vzjacyhhxd,28,86
Grada Negra Grada,Chicago Motor Speedway fhmjixbbey,8,94
Grada Norte Grada,Chicago Motor Speedway fhmjixbbey,48,82
Grada Sur Zona,Chicagoland Speedway haqnebnpvi,9,22
Grada Negra Sector,Chicagoland Speedway haqnebnpvi,36,10
Grada Este Tribuna,Chicagoland Speedway odikqyrsyk,50,31
Grada Sur Tribuna,Chicagoland Speedway odikqyrsyk,34,49
Grada Oeste Tribuna,Chinnaswamy Stadium lwttmszzjk,22,85
Grada Oeste Grada,Chinnaswamy Stadium sahlfkgfkx,10,10
Grada Este Tribuna,Chinnaswamy Stadium sahlfkgfkx,21,87
Grada Roja Sector,Chinnaswamy Stadium sahlfkgfkx,30,15
Grada Blanca Tribuna,Chinnaswamy Stadium wxligpgsrf,13,48
Grada Este Tribuna,CHIO Hauptstadion dhsidytanx,21,17
Grada Negra Tribuna,CHIO Hauptstadion dhsidytanx,28,75
Grada Azul Grada,CHIO Hauptstadion hmbxeynujd,47,61
Grada Oeste Zona,CHIO Hauptstadion picgvrtvgh,15,46
Grada Oeste Tribuna,CHIO Hauptstadion wxsvwziblm,32,56
Grada Blanca Zona,Churchill Downs auksnbwetb,27,86
Grada Norte Tribuna,Churchill Downs auksnbwetb,5,96
Grada Roja Tribuna,Churchill Downs cbymlidrui,45,24
Grada Oeste Tribuna,Churchill Downs jyvewvdzoh,37,50
Grada Oeste Sector,Churchill Downs jyvewvdzoh,48,43
Grada Blanca Sector,Churchill Downs jyvewvdzoh,46,99
Grada Roja Sector,Churchill Downs tkzifpcvcd,10,81
Grada Amarilla Sector,Circuit Bugatti dctjebgvyf,9,82
Grada Oeste Grada,Circuit Bugatti dctjebgvyf,5,79
Grada Negra Sector,Circuit Bugatti kizgbknxku,36,72
Grada Amarilla Tribuna,Circuit Bugatti kizgbknxku,1,83
Grada Norte Tribuna,Circuit Bugatti vuuhxlwuto,18,69
Grada Oeste Zona,Circuit of the Americas bgtdobjxiu,38,11
Grada Negra Sector,Circuit of the Americas bgtdobjxiu,9,53
Grada Este Grada,Circuit of the Americas bgtdobjxiu,49,43
Grada Roja Tribuna,Circuit Zandvoort afunscftrs,42,61
Grada Negra Grada,Circuit Zandvoort ynprdidjef,10,66
Grada Negra Sector,Circuit Zandvoort ynprdidjef,13,83
Grada Azul Zona,Circuit Zandvoort ynprdidjef,9,12
Grada Azul Tribuna,Citi Field crtfppqvtg,25,42
Grada Blanca Tribuna,Citi Field crtfppqvtg,18,82
Grada Sur Zona,Citi Field olkjrokjgz,32,35
Grada Blanca Grada,Citizens Bank Park wgydznlzhc,9,72
Grada Negra Grada,Citizens Bank Park wgydznlzhc,49,64
Grada Este Sector,City of M'ster Stadium gvuylshfin,31,86
Grada Verde Sector,City of M'ster Stadium omxxgrltsl,38,33
Grada Verde Zona,City of M'ster Stadium vjgwsisdmx,15,85
Grada Verde Sector,City of M'ster Stadium zhatvclhuo,1,80
Grada Blanca Sector,City of M'ster Stadium zhatvclhuo,21,49
Grada Amarilla Sector,City of M'ster Stadium zhatvclhuo,20,99
Grada Norte Sector,Ciudad de Vicente López lxzjksymqo,44,29
Grada Negra Tribuna,Ciudad de Vicente López ninorvvpif,14,47
Grada Sur Sector,Ciudad de Vicente López ninorvvpif,10,54
Grada Blanca Grada,Ciudad de Vicente López xvgfdxsdqf,34,48
Grada Verde Sector,Club Hípico de Santiago fdgmmedbgb,22,18
Grada Verde Sector,Club Hípico de Santiago kdfplybaqp,46,68
Grada Oeste Zona,Club Hípico de Santiago kdfplybaqp,42,83
Grada Amarilla Tribuna,Club Hípico de Santiago kdfplybaqp,11,92
Grada Sur Sector,Club Hípico de Santiago smurlmdtnz,11,21
Grada Roja Zona,Club Hípico de Santiago smurlmdtnz,46,78
Grada Verde Sector,Club Hípico de Santiago upnetmnmnj,3,27
Grada Blanca Sector,Club Hípico de Santiago upnetmnmnj,12,40
Grada Norte Tribuna,Club Hípico de Santiago upnetmnmnj,48,92
Grada Norte Tribuna,Coca-Cola Park fcuoekgzfa,47,57
Grada Sur Zona,Coca-Cola Park fcuoekgzfa,17,42
Grada Verde Sector,Coca-Cola Park fjqopoknfl,21,40
Grada Negra Sector,Coca-Cola Park tlusqhrfbe,39,94
Grada Norte Grada,Coca-Cola Park uxhbjymuye,36,58
Grada Sur Sector,Coface Arena mxytknyxhe,27,34
Grada Roja Zona,Coface Arena mxytknyxhe,19,65
Grada Norte Tribuna,Coface Arena mxytknyxhe,22,50
Grada Amarilla Grada,Coface Arena picgdkxrff,9,76
Grada Norte Tribuna,Coface Arena utjhcaaskw,27,47
Grada Sur Tribuna,Coface Arena xgbigpvbtl,31,30
Grada Amarilla Zona,Coface Arena xgbigpvbtl,33,71
Grada Verde Zona,Comerica Park bodfreugub,6,47
Grada Sur Zona,Comerica Park jcvvxspxkf,18,82
Grada Norte Tribuna,Comerica Park jcvvxspxkf,30,91
Grada Verde Sector,Comerica Park jcvvxspxkf,12,48
Grada Verde Tribuna,Commonwealth Stadium dkkadehcbn,21,13
Grada Oeste Sector,Commonwealth Stadium dkkadehcbn,36,62
Grada Sur Tribuna,Commonwealth Stadium tlncjixfor,2,57
Grada Amarilla Grada,Commonwealth Stadium tlncjixfor,39,10
Grada Blanca Zona,Commonwealth Stadium tlncjixfor,38,17
Grada Roja Tribuna,Coors Field vxgkjowejp,17,14
Grada Azul Zona,Coors Field vxgkjowejp,12,47
Grada Amarilla Zona,Coors Field vxgkjowejp,39,99
Grada Blanca Tribuna,Coors Field zrrnkmroll,18,22
Grada Amarilla Tribuna,Coors Field zrrnkmroll,16,99
Grada Blanca Zona,Coors Field zrrnkmroll,30,100
Grada Oeste Grada,Cotton Bowl aqeyyyimzm,47,79
Grada Azul Sector,Cotton Bowl aqeyyyimzm,5,25
Grada Azul Tribuna,Cotton Bowl aqeyyyimzm,7,60
Grada Blanca Sector,Cotton Bowl gyuffnonmz,43,42
Grada Amarilla Zona,Cowboys Stadium kbnkvwettx,29,22
Grada Amarilla Grada,Cowboys Stadium kbnkvwettx,4,51
Grada Verde Sector,Cowboys Stadium lyesggmuya,12,14
Grada Oeste Zona,Cowboys Stadium lyesggmuya,21,75
Grada Oeste Sector,Cowboys Stadium opqrxjkdfr,2,20
Grada Roja Zona,Cowboys Stadium opqrxjkdfr,20,49
Grada Negra Tribuna,Cowboys Stadium xdwfqeyujs,8,89
Grada Roja Tribuna,Croke Park tguzzonylr,33,46
Grada Oeste Grada,Croke Park vcdbgaqcem,39,94
Grada Norte Sector,Croke Park vcdbgaqcem,14,56
Grada Verde Grada,Croke Park vcdbgaqcem,39,42
Grada Azul Zona,Croke Park zyjhguigct,39,59
Grada Verde Sector,Datianwan Stadium mxkmdsbjlm,27,49
Grada Amarilla Zona,Datianwan Stadium mxkmdsbjlm,8,33
Grada Norte Zona,Davis Wade Stadium jnxhhlpmef,40,74
Grada Oeste Grada,Davis Wade Stadium jnxhhlpmef,7,34
Grada Este Zona,Davis Wade Stadium jnxhhlpmef,22,18
Grada Este Sector,Davis Wade Stadium msqcjatnkg,30,27
Grada Roja Sector,Davis Wade Stadium msqcjatnkg,20,43
Grada Verde Grada,Daytona Int'l Speedway dyeqygmqup,36,30
Grada Negra Zona,Daytona Int'l Speedway fzksviwdhv,30,21
Grada Verde Tribuna,Daytona Int'l Speedway rxeuhggnsz,20,71
Grada Norte Zona,Daytona Int'l Speedway rxeuhggnsz,10,36
Grada Amarilla Sector,Daytona Int'l Speedway rxeuhggnsz,30,70
Grada Negra Zona,Dinamo Stadion jjuooxhbgp,12,44
Grada Sur Grada,Dinamo Stadion lbywdxilyr,28,96
Grada Este Zona,Dinamo Stadion lbywdxilyr,6,47
Grada Sur Zona,Dinamo Stadion lbywdxilyr,29,46
Grada Verde Zona,Dix Stadium huekrgpice,40,42
Grada Verde Sector,Dix Stadium huekrgpice,46,96
Grada Sur Grada,Dix Stadium iyihpclnlx,46,99
Grada Sur Zona,Dix Stadium iyihpclnlx,21,51
Grada Sur Sector,Dix Stadium kuoykzcvip,20,12
Grada Azul Sector,Dix Stadium plzohnjznt,1,60
Grada Azul Zona,Dix Stadium plzohnjznt,24,46
Grada Este Sector,Dix Stadium vzfwdlprdk,43,12
Grada Norte Tribuna,Dix Stadium vzfwdlprdk,49,96
Grada Verde Zona,Dix Stadium vzfwdlprdk,26,70
Grada Oeste Grada,Dix Stadium ydjadevhkx,10,68
Grada Norte Zona,Dix Stadium ydjadevhkx,11,83
Grada Norte Tribuna,Dix Stadium ydjadevhkx,33,83
Grada Azul Zona,Dix Stadium ykzmhhergt,21,44
Grada Norte Grada,Dix Stadium ykzmhhergt,12,64
Grada Sur Tribuna,Dix Stadium ykzmhhergt,37,63
Grada Sur Grada,Dix Stadium ywovtmzymt,42,57
Grada Este Sector,DKR-Texas Memorial Stadium cubrragpnv,4,72
Grada Roja Sector,DKR-Texas Memorial Stadium wfatevgnni,10,85
Grada Sur Grada,DKR-Texas Memorial Stadium wfatevgnni,22,77
Grada Amarilla Zona,DKR-Texas Memorial Stadium xbbvqqqmxf,25,27
Grada Amarilla Tribuna,Dodger Stadium koprznutmw,37,79
Grada Azul Sector,Dodger Stadium koprznutmw,18,93
Grada Azul Zona,Dodger Stadium koprznutmw,34,96
Grada Norte Grada,Don León Kolbovski mgszgewreb,17,13
Grada Sur Sector,Don León Kolbovski qadstnpecg,45,41
Grada Negra Grada,Don León Kolbovski rvgiodvbny,15,74
Grada Verde Zona,Don León Kolbovski rvgiodvbny,28,45
Grada Negra Sector,Don León Kolbovski rvgiodvbny,44,18
Grada Sur Sector,Don León Kolbovski wpusyquzat,39,12
Grada Verde Sector,Don León Kolbovski wpusyquzat,48,38
Grada Oeste Sector,Don León Kolbovski wpusyquzat,46,76
Grada Oeste Sector,Don León Kolbovski zqyqocyjmf,16,24
Grada Sur Sector,Donbass Arena ivawwbrdhh,37,19
Grada Amarilla Sector,Donbass Arena nmttaqlyfo,4,19
Grada Norte Tribuna,Donbass Arena venplvbqfn,50,100
Grada Oeste Zona,Donbass Arena venplvbqfn,4,64
Grada Azul Sector,Donbass Arena venplvbqfn,48,42
Grada Amarilla Zona,Donbass Arena ysmobjhedl,19,48
Grada Verde Grada,Donbass Arena ysmobjhedl,34,16
Grada Roja Sector,Donington Park Circuit cmcebfntsl,41,14
Grada Amarilla Sector,Donington Park Circuit erbwxwnfeq,18,14
Grada Oeste Zona,Donington Park Circuit erbwxwnfeq,7,98
Grada Negra Sector,Donington Park Circuit foveybbspq,4,49
Grada Roja Grada,Donington Park Circuit jkczlhjsql,50,94
Grada Negra Tribuna,Donington Park Circuit jkczlhjsql,33,68
Grada Oeste Sector,Dover Int'l Speedway amnevecimi,7,31
Grada Verde Sector,Dover Int'l Speedway amnevecimi,32,29
Grada Negra Sector,Dover Int'l Speedway amnevecimi,32,74
Grada Este Sector,Dover Int'l Speedway viwbbamynt,32,81
Grada Verde Sector,Dover Int'l Speedway viwbbamynt,25,49
Grada Roja Zona,Dover Int'l Speedway viwbbamynt,45,66
Grada Blanca Grada,Dover Int'l Speedway zltmvpqvod,30,50
Grada Oeste Zona,Dowdy Ficklen Stadium dghihuzezl,22,100
Grada Este Tribuna,Dowdy Ficklen Stadium fuiqzzihub,11,88
Grada Blanca Tribuna,Dowdy Ficklen Stadium fuiqzzihub,10,39
Grada Sur Sector,Dowdy Ficklen Stadium fuiqzzihub,40,66
Grada Blanca Sector,Dowdy Ficklen Stadium sfdfvtycyh,34,81
Grada Oeste Sector,Dowdy Ficklen Stadium sfdfvtycyh,33,30
Grada Verde Sector,Doyt L. Perry Stadium nlwigcshsj,27,60
Grada Este Grada,Doyt L. Perry Stadium nlwigcshsj,31,55
Grada Azul Zona,Doyt L. Perry Stadium nlwigcshsj,47,41
Grada Este Sector,Doyt L. Perry Stadium vhgnjoctud,48,52
Grada Norte Zona,Doyt L. Perry Stadium vhgnjoctud,26,50
Grada Blanca Grada,Dr. Lisandro de la Torre ubglsbciep,30,32
Grada Amarilla Zona,Dr. Lisandro de la Torre zyofitqyae,33,23
Grada Norte Tribuna,Dr. Lisandro de la Torre zyofitqyae,45,32
Grada Azul Zona,Dubai Autodrome fcxphynobj,36,98
Grada Negra Zona,Dubai Autodrome ssrryqkgww,12,69
Grada Blanca Sector,Eden Park qghaqmhnre,30,91
Grada Norte Grada,Eden Park qghaqmhnre,18,69
Grada Azul Zona,Elland Road hhhweboxwz,13,63
Grada Oeste Zona,Elland Road hhhweboxwz,23,61
Grada Negra Sector,Elland Road hhhweboxwz,12,77
Grada Sur Zona,Elland Road pqalbkypve,34,73
Grada Este Zona,Elland Road pqalbkypve,4,84
Grada Sur Zona,Elland Road xjmangvtcu,11,83
Grada Negra Zona,Elland Road xjmangvtcu,30,89
Grada Este Sector,Elmo Serejo Farias jndrguipuh,6,35
Grada Oeste Grada,Emirates Stadium kehrkxmjdt,45,15
Grada Blanca Tribuna,Emirates Stadium kehrkxmjdt,31,55
Grada Norte Tribuna,Emirates Stadium lsajegcqvf,17,89
Grada Verde Tribuna,Emirates Stadium vjdbvgapuw,43,83
Grada Roja Sector,Emirates Stadium xfcgusnciw,37,71
Grada Oeste Tribuna,Emirates Stadium xfcgusnciw,17,54
Grada Blanca Tribuna,Emirates Stadium xfcgusnciw,32,36
Grada Azul Sector,Estádio 11 de Novembro qojrikzhem,30,54
Grada Negra Tribuna,Estádio 11 de Novembro qojrikzhem,24,42
Grada Sur Tribuna,Estádio 11 de Novembro vshiykligj,23,15
Grada Norte Sector,Estádio 11 de Novembro vshiykligj,38,81
Grada Oeste Grada,Estádio 11 de Novembro vshiykligj,22,21
Grada Roja Sector,Estádio Alvalade XXI vuhnqhepsd,26,24
Grada Sur Sector,Estadio Balaidos weigdszzho,13,74
Grada Este Tribuna,Estadio Balaidos weigdszzho,35,56
Grada Oeste Zona,Estadio Banco Pichincha beakdmzwtz,28,32
Grada Amarilla Sector,Estadio Banco Pichincha beakdmzwtz,25,29
Grada Amarilla Grada,Estadio Banco Pichincha beakdmzwtz,24,90
Grada Sur Zona,Estadio Banco Pichincha xlwgipwdpv,40,34
Grada Azul Zona,Estadio Banco Pichincha xlwgipwdpv,13,17
Grada Roja Grada,Estadio Benito Villamarín otkglbhfmu,46,19
Grada Este Tribuna,Estadio Benito Villamarín otkglbhfmu,6,41
Grada Azul Grada,Estadio Benito Villamarín tntswcknth,3,58
Grada Azul Sector,Estadio Benito Villamarín tntswcknth,5,13
Grada Blanca Sector,Estadio Benito Villamarín tntswcknth,49,98
Grada Azul Grada,Estadio Benito Villamarín zbdaimftyz,6,62
Grada Roja Grada,Estadio Benito Villamarín zbdaimftyz,39,61
Grada Norte Sector,Estadio Benito Villamarín zhkzkcskha,29,57
Grada Este Tribuna,Estadio Benito Villamarín zsxerhdzzc,37,64
Grada Verde Sector,Estádio Brinco de Ouro ntgrrrxabc,49,48
Grada Oeste Grada,Estádio Brinco de Ouro ntgrrrxabc,34,66
Grada Sur Grada,Estadio Casa Blanca dktgwesuig,2,33
Grada Negra Tribuna,Estadio Casa Blanca dktgwesuig,42,72
Grada Azul Sector,Estadio Casa Blanca dktgwesuig,10,36
Grada Roja Sector,Estadio Casa Blanca qqtqyecgfw,31,81
Grada Blanca Zona,Estadio Centenario ukqxhiacjf,16,60
Grada Sur Tribuna,Estadio Centenario ukqxhiacjf,28,99
Grada Norte Grada,Estadio Centenario wkjwzpbixs,32,72
Grada Verde Zona,Estadio Centenario wkjwzpbixs,46,50
Grada Azul Grada,Estadio Centenario wkjwzpbixs,48,75
Grada Roja Tribuna,Estadio Chacarita Juniors bmcnqfjicm,47,46
Grada Azul Grada,Estadio Ciudad de La Plata uuaydktxyq,14,87
Grada Azul Tribuna,Estadio Ciudad de La Plata uzfcujgqkg,34,11
Grada Roja Tribuna,Estadio Ciudad de La Plata uzfcujgqkg,12,20
Grada Norte Grada,Estadio Ciudad de La Plata uzfcujgqkg,40,66
Grada Verde Zona,Estadio Cuauhtémoc gnfhewqkqg,19,83
Grada Oeste Zona,Estadio da Cidadela baqdxwxmbt,19,68
Grada Negra Sector,Estadio da Cidadela irileattcz,6,58
Grada Azul Tribuna,Estadio da Cidadela pjmusfdbiz,33,33
Grada Blanca Sector,Estádio da Luz agmdozeplf,11,72
Grada Oeste Zona,Estádio da Luz cqdckinkqm,41,16
Grada Blanca Grada,Estádio da Luz dalesaddez,10,43
Grada Este Tribuna,Estádio da Luz thvpiiakbc,13,46
Grada Este Grada,Estádio da Luz thvpiiakbc,37,28
Grada Oeste Sector,Estádio da Luz thvpiiakbc,50,43
Grada Blanca Sector,Estádio da Luz xgmzstgsxy,32,48
Grada Negra Sector,Estádio da Machava buexnvayzw,35,63
Grada Roja Zona,Estadio de Gran Canaria osopdmitqa,34,12
Grada Azul Tribuna,Estadio de Gran Canaria ulscsrcdbx,35,43
Grada Roja Tribuna,Estadio del Centenario kamzboipto,8,40
Grada Sur Tribuna,Estadio del Centenario uatxtxktml,33,86
Grada Norte Grada,Estadio Dennis Martinez fvcbknplmd,43,67
Grada Verde Tribuna,Estadio Dennis Martinez nlzlcishrf,5,11
Grada Amarilla Sector,Estadio Dennis Martinez nlzlcishrf,40,50
Grada Este Grada,Estadio Deportivo Calí kftydrcxuk,41,45
Grada Este Sector,Estádio do Dragão hwoqwmzjrf,8,50
Grada Verde Grada,Estádio do Dragão hwoqwmzjrf,14,52
Grada Negra Zona,Estádio do Dragão hwoqwmzjrf,36,36
Grada Este Sector,Estádio do Dragão lyjzqqjxvw,2,82
Grada Roja Tribuna,Estádio do Dragão lyjzqqjxvw,2,29
Grada Norte Zona,Estádio do Dragão lyjzqqjxvw,17,51
Grada Negra Grada,Estádio do Maracanã eduhlilaly,40,14
Grada Verde Grada,Estádio do Maracanã eduhlilaly,44,74
Grada Verde Grada,Estádio do Maracanã jfqmwtzrra,7,77
Grada Azul Tribuna,Estádio do Maracanã jfqmwtzrra,21,13
Grada Roja Grada,Estádio do Maracanã jfqmwtzrra,36,38
Grada Este Sector,Estádio do Maracanã ksizmjnctz,48,35
Grada Verde Sector,Estádio do Maracanã ktoeeampdi,24,13
Grada Oeste Tribuna,Estádio do Maracanã ktoeeampdi,40,92
Grada Oeste Grada,Estádio do Restelo btphyeordb,32,96
Grada Roja Sector,Estádio do Restelo fcqmtuceyc,31,83
Grada Azul Sector,Estádio do Restelo mdzpeqpymp,37,59
Grada Blanca Grada,Estádio do Restelo mdzpeqpymp,41,59
Grada Roja Sector,Estádio do Restelo mdzpeqpymp,45,99
Grada Norte Tribuna,Estadio Felix Capriles hshruhmysk,44,11
Grada Oeste Sector,Estadio Felix Capriles hshruhmysk,30,74
Grada Norte Grada,Estadio Felix Capriles iisjmrodnr,17,96
Grada Oeste Sector,Estadio Felix Capriles iisjmrodnr,25,85
Grada Roja Sector,Estadio Felix Capriles spgcmzldym,45,51
Grada Azul Tribuna,Estadio Felix Capriles spgcmzldym,15,81
Grada Norte Sector,Estadio Felix Capriles uujtjfmflc,34,33
Grada Negra Grada,Estadio Felix Capriles xkjmeyptsl,47,65
Grada Sur Tribuna,Estadio Florencio Solá jqtryleajb,24,100
Grada Sur Sector,Estadio Florencio Solá jqtryleajb,50,34
Grada Roja Tribuna,Estadio Florencio Solá qtaunyzpdw,25,87
Grada Roja Sector,Estádio Francisco Stédile kmanowswml,9,47
Grada Verde Sector,Estádio Francisco Stédile kmanowswml,21,35
Grada Amarilla Tribuna,Estádio Francisco Stédile kmanowswml,18,81
Grada Oeste Sector,Estádio Francisco Stédile swvwbdibrh,3,78
Grada Amarilla Zona,Estádio Francisco Stédile swvwbdibrh,41,39
Grada Azul Zona,Estadio Hernando Siles bauxcnpnll,10,66
Grada Roja Tribuna,Estadio Hernando Siles bauxcnpnll,4,76
Grada Blanca Sector,Estadio Hernando Siles ictyaeaduh,27,15
Grada Amarilla Sector,Estadio Hernando Siles ngnxonfucg,43,73
Grada Blanca Tribuna,Estadio Hernando Siles ngnxonfucg,9,96
Grada Oeste Tribuna,Estadio Hernando Siles ngnxonfucg,10,71
Grada Amarilla Zona,Estadio Hernando Siles ujoevpmfyu,50,20
Grada Verde Grada,Estadio Hernando Siles ujoevpmfyu,37,78
Grada Roja Sector,Estadio J.A. Anzoátegui rdqcphauqw,46,95
Grada Roja Tribuna,Estadio J.A. Anzoátegui tuclzymwma,38,45
Grada Azul Tribuna,Estadio J.A. Anzoátegui ufckwokwxa,11,16
Grada Amarilla Tribuna,Estadio J.E. Romero mxyhbbbsfb,9,96
Grada Amarilla Sector,Estadio J.E. Romero mxyhbbbsfb,27,74
Grada Sur Tribuna,Estadio J.E. Romero mxyhbbbsfb,37,73
Grada Azul Sector,Estadio J.E. Romero opwzcyrahj,32,21
Grada Amarilla Zona,Estadio J.E. Romero opwzcyrahj,33,82
Grada Verde Tribuna,Estadio J.E. Romero opwzcyrahj,32,41
Grada Blanca Grada,Estadio J.E. Romero vvbialtfgw,30,59
Grada Blanca Sector,Estadio J.E. Romero vvbialtfgw,19,33
Grada Amarilla Grada,Estadio J.E. Romero vvbialtfgw,32,84
Grada Este Sector,Estádio Jacy Scaff ejmmximqzp,2,68
Grada Roja Tribuna,Estádio Jacy Scaff ejmmximqzp,25,63
Grada Norte Sector,Estádio Jacy Scaff llykqdcwrk,29,96
Grada Roja Sector,Estádio Jacy Scaff llykqdcwrk,16,92
Grada Azul Sector,Estádio Jacy Scaff lvvmjuzwnw,4,29
Grada Amarilla Sector,Estadio Jalisco scdfoufuuj,28,22
Grada Oeste Grada,Estadio José Amalfitani abkpmimbfz,14,92
Grada Norte Sector,Estadio José Amalfitani abkpmimbfz,27,36
Grada Sur Tribuna,Estadio José Amalfitani dcqhxpylwv,1,77
Grada Amarilla Grada,Estadio José Amalfitani dcqhxpylwv,32,44
Grada Negra Tribuna,Estadio José Amalfitani dcqhxpylwv,40,24
Grada Oeste Sector,Estadio José Amalfitani zgpbrppwof,13,93
Grada Roja Tribuna,Estadio La Cartuja dedekcismr,32,84
Grada Este Grada,Estadio La Cartuja eeyhzaglwv,3,38
Grada Sur Zona,Estadio La Cartuja kjakhrqubp,23,53
Grada Oeste Tribuna,Estadio La Cartuja kjakhrqubp,22,89
Grada Sur Grada,Estadio La Cartuja kjakhrqubp,17,47
Grada Amarilla Grada,Estadio La Cartuja lyttnpxzyq,19,76
Grada Roja Sector,Estadio La Cartuja lyttnpxzyq,39,13
